userid,query,service_class,query_cpu_time,query_blocks_read,query_execution_time,query_cpu_usage_percent,query_temp_blocks_to_disk,segment_execution_time,cpu_skew,io_skew,scan_row_count,join_row_count,nested_loop_join_row_count,return_row_count,spectrum_scan_row_count,spectrum_scan_size_mb,query_queue_time,service_class_name,starttime,querytxt
107,11305489,102,96,249343,15,2.18,7279,15,40.00,1.11,2140943646,71636,,,,,,Default queue                                                   ,2020-05-05 23:45:42.394446,"create temp table reseller_table_Constrained_Unconstrained distkey(program2) AS ( SELECT s.processed_file_id, s.description, p.device_type, p.program, p.program2, s.date, s.run_type, SUM(s.value) as udrp FROM solver_asin_inventories s LEFT JOIN asin_program a ON s.asin = a.asin INNER JOIN AllPOR p ON p.processed_file_id = s.processed_file_id AND p.program2 = upper(a.program2) -- LEFT JOIN devices d on s.asin = d.asin WHERE s.description IN ('ExpectedShipFromCM') AND a.device_type IN ('AuCC','FSN','EINK','TABLET','SMP','ViCC','APO') AND s.run_type IN ('Unconstrained') and date >= date_trunc('week',current_date+1)-1 GROUP BY 1,2,3,4,5,6,7)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
129,11306669,101,986,264355,47,13.97,5355,47,7.19,1.05,2099644721,1487770,,,,,,Queue 2                                                         ,2020-05-05 23:50:58.133860,create temp table vdp_versions distkey(program) as ( --query update as of Monday 11/16 select * from vdp_staging_retailer_vdps where true --demand_source like 'SWAT%' and date >= current_date and fct_version in (select * from choose_vdp_official) and vdp_type ='device' )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
133,11295672,101,2210,31147,205,5.96,5314,61,50.77,1.67,1417468497,265808272,,,,,,Queue 2                                                         ,2020-05-05 22:18:28.435985,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
129,11307202,101,9,242,19,0.29,5268,19,80.00,80.00,4458496,,,,,,,Queue 2                                                         ,2020-05-05 23:54:14.787654,create temp table rod_actualised_forecast diststyle all as ( select * from vla_actualised union all select * from plf_actualised union all select * from gs5_actualised union all select * from gs9_actualised union all select * from gs4_actualised union all select * from vg2_actualised union all select * from vg3_actualised union all select * from vg1_actualised )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
129,11297666,101,93,258951,13,2.46,4843,13,20.00,1.08,2200471621,115646,,,,,,Queue 2                                                         ,2020-05-05 22:36:21.893406,"create temp table reseller_table_Constrained_Unconstrained distkey(program2) AS ( SELECT s.processed_file_id, s.description, p.device_type, p.program, p.program2, s.date, s.run_type, SUM(s.value) as udrp FROM solver_asin_inventories s LEFT JOIN asin_program a ON s.asin = a.asin INNER JOIN AllPOR p ON p.processed_file_id = s.processed_file_id AND p.program2 = upper(a.program2) -- LEFT JOIN devices d on s.asin = d.asin WHERE s.description IN ('ExpectedShipFromCM') AND a.device_type not IN ('Accessory','DASH','FSN') AND s.run_type IN ('Unconstrained') and date >= '2020-04-19' --date_trunc('week',current_date+1)-1 GROUP BY 1,2,3,4,5,6,7)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
129,11307505,101,2,0,6,0.19,4641,5,80.00,,653312,,,,,,,Queue 2                                                         ,2020-05-05 23:56:33.180840,"create temp table gs4_actualised diststyle all as ( select 'GS4 Actualised' as source, * from ( select year,date_month,country, channel,asin,program, device_Type,bundle,storage, wireless_type,dtcp, retailer_name, sum(vdp_plus_units) vdp_plus_units, sum(baseline_units) baseline_units, sum(promo_units) promo_units , sum(actuals) actuals from rod_vdp_forcast where fct_version LIKE 'GS4%' group by 1,2,3,4,5,6,7,8,9,10,11,12 union all select year,date_month,country, channel,asin,program, device_Type,bundle,storage, wireless_type,dtcp, retailer_name, sum(vdp_plus_units) vdp_plus_units, sum(baseline_units), sum(promo_units) promo_units, sum(actuals) actuals from actuals group by 1,2,3,4,5,6,7,8,9,10,11,12 ) )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
133,11292730,101,2358,30689,214,6.18,4588,68,55.95,3.47,1418088448,265791260,,,,,,Queue 2                                                         ,2020-05-05 21:53:30.900947,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
129,11307860,101,819,261724,23,26.06,4552,22,6.91,1.06,2072277003,950173,,,,,,Queue 2                                                         ,2020-05-05 23:58:43.663154,create temp table vdp_versions distkey(program) as ( --query update as of Monday 11/16 select * from vdp_staging_retailer_vdps where true --demand_source like 'SWAT%' and date >= current_date and fct_version in (select * from choose_vdp_official) and vdp_type ='device' )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
129,11294269,101,945,268513,25,26.10,4177,25,8.92,1.05,2141466123,4630837,,,,,,Queue 2                                                         ,2020-05-05 22:06:16.845113,create temp table vdp_versions distkey(program) as ( --query update as of Monday 11/16 select * from vdp_staging_retailer_vdps where true --demand_source like 'SWAT%' and date >= current_date and fct_version in (select * from choose_vdp_official) and vdp_type ='device' )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
107,11310594,102,762,82215,96,29.52,3995,83,80.00,1.08,1765752133,8490311,,4280671,,,,Default queue                                                   ,2020-05-06 00:16:33.336699," SELECT fct_version, date, v.device_type, v.program, asin, sum(vdp_plus_units - baseline_units) as promo_units FROM vdp_staging_retailer_vdps v LEFT JOIN asins USING(asin) WHERE fct_version IN ('VDP_20181231','VDP_20190107','VDP_20190114','VDP_20190121','VDP_20190128','VDP_20190204','VDP_20190211','VDP_20190218','VDP_20190225','VDP_20190304','VDP_20190311','VDP_20190318','VDP_20190325','VDP_20190401','VDP_20190408','VDP_20190415','VDP_20190422','VDP_20190429','VDP_20190506','VDP_20190513','VDP_20190520','VDP_20190527','VDP_20190603','VDP_20190610','VDP_20190617','VDP_20190624','VDP_20190701','VDP_20190708','VDP_20190715','VDP_20190722','VDP_20190729','VDP_20190805','VDP_20190812','VDP_20190819','VDP_20190826','VDP_20190902','VDP_20190909','VDP_20190916','VDP_20190923','VDP_20190930','VDP_20191007','VDP_20191014','VDP_20191021','VDP_20191028','VDP_20191104','VDP_20191111','VDP_20191118','VDP_20191125','VDP_20191202','VDP_20191209','VDP_20191216','VDP_20191223','VDP_20191230','VDP_20200106','VDP_20200113','VDP_20200120','VDP_20200127','VDP_20200203','VDP_20200210','VDP_20200217','VDP_20200224') AND date BETWEEN '2018-12-16' AND Getdate() AND from_country = 'US' AND channel = 'ONLINE' AND UPPER(v.device_type) IN ('AUCC', 'SMP', 'TABLET', 'EINK', 'RING', 'BLINK') GROUP BY 1,2,3,4,5 ORDER BY 1,2,3,4,5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
107,11305429,102,634,10772,23,23.13,3338,12,80.00,2.05,2259836481,229335,,1019429,,,2,Default queue                                                   ,2020-05-05 23:45:34.120405,fetch 10000 in "SQL_CUR6";                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
